,0
ship,153.375
test,153.01000000000002
glare,152.867
pleasant,152.5375
applic,151.83950000000002
neat,150.9855
hesit,150.7905
duti,149.2995
mother,148.19400000000002
larger,147.18650000000002
100%,146.963
combin,146.8185
red,146.5525
laptop,146.493
adjust,146.439
serv,145.6035
issu,145.3425
sooner,145.297
mind,145.114
downsid,144.2535
accident,144.1655
incred,144.061
kick,143.725
finger,143.533
fold,143.232
birthday,143.02499999999998
silicon,142.626
belt,142.604
came,142.24800000000002
market,142.0515
truck,141.78650000000002
amount,141.53150000000002
complement,141.2445
thick,141.179
bill,141.136
slot,141.012
niec,140.87849999999997
fashion,140.453
reliabl,140.2115
say,139.3795
headphon,139.087
neg_beat,139.012
steal,138.25050000000002
dad,136.72549999999998
complain,136.6295
promis,136.4865
prevent,135.84
brand,135.494
crystal,135.186
person,135.034
pair,134.929
happier,134.446
speed,133.421
neg_damag,133.303
boyfriend,132.886
credit,132.742
neg_big,132.738
outstand,132.6905
kitti,132.66
construct,132.5635
earli,132.2395
along,131.469
con,130.7555
juic,130.7245
handl,130.5225
tight,130.363
eye,130.26100000000002
space,130.03549999999998
pick,129.654
law,129.294
pouch,128.679
ac,128.277
dust,128.2515
ton,128.13199999999998
night,127.972
deliv,127.2965
evo,127.157
seri,126.2795
teenag,125.607
dock,125.349
key,125.31750000000001
sparkl,125.15899999999999
skin,125.086
concern,124.96499999999999
comput,124.94949999999999
tend,124.3655
cellphon,124.304
id,124.06400000000001
combo,123.7975
invest,122.63550000000001
right,122.4075
fulli,121.9315
various,121.82650000000001
talk,121.43950000000001
7,121.35449999999999
lg,121.06150000000001
minim,120.363
everywher,120.2355
(i,120.211
simultan,120.173
holder,119.8745
truli,119.79849999999999
armor,119.694
neg_ne,119.536
clariti,119.51100000000001
flip,119.4695
present,119.2065
hello,118.74900000000001
bargain,118.0815
leather,117.9685
rock,117.75
consid,117.693
keyboard,117.6425
intend,117.27900000000001
neg_lov,117.0635
past,117.0205
fan,116.9335
smaller,116.883
neg_much,116.77799999999999
ive,116.5805
ride,116.5215
thicker,116.1
fraction,115.8785
gotten,115.748
surviv,115.7145
wipe,115.3005
licens,115.2885
diztron,114.51400000000001
abil,114.242
fanci,113.5735
practic,113.477
5c,113.412
comment,113.3245
oper,113.0195
shower,112.70450000000001
swap,112.636
exceed,112.1805
mah,112.1585
choos,111.9285
emerg,111.774
shock,111.39099999999999
wow,111.333
pad,111.017
guy,110.772
shape,110.7375
retract,110.4945
hd,110.47699999999999
versatil,110.3435
profession,110.22500000000001
current,110.2195
neg_complain,109.95100000000001
school,109.7805
meet,109.6515
member,109.46000000000001
lighter,109.121
lay,109.07950000000001
improv,108.596
cours,108.527
ii,108.3645
penni,108.08200000000001
trick,107.42500000000001
relat,107.179
necessari,107.03399999999999
camp,106.1065
grab,105.9405
easiest,105.74950000000001
effici,104.877
tangl,104.827
appreci,104.67
view,104.5685
spigen,104.4905
factori,104.4785
4g,103.69449999999999
app,103.60199999999999
fire,103.5645
lip,103.391
reccomend,103.161
bigger,102.6905
larg,102.587
suppli,102.458
navig,102.16149999999999
bike,101.674
storag,101.2655
youtub,101.17150000000001
terrif,101.04899999999999
gel,100.78500000000001
neg_far,100.6655
let,100.591
grippi,99.99549999999999
depend,99.8865
sim,99.7625
abus,99.694
front,99.566
five,99.4255
accid,99.1795
cutout,98.957
neg_slip,98.86099999999999
iphone5,98.71449999999999
detail,98.50450000000001
backpack,98.3505
plan,98.231
rais,98.1575
goe,97.36500000000001
slick,97.01050000000001
chose,96.97500000000001
clock,96.8675
bass,96.501
though,96.45299999999999
gym,96.27499999999999
put,95.8865
ever,95.43599999999999
mood,95.1415
although,94.80250000000001
superb,94.54050000000001
moto,94.4135
grandson,93.70700000000001
opinion,93.5675
mp3,93.5525
rang,93.5205
neg_fal,93.50150000000001
2.1,93.345
luv,93.182
player,92.99499999999999
concret,92.92999999999999
servic,92.1995
clumsi,91.69449999999999
confid,91.687
world,91.05900000000001
adequ,90.75500000000001
via,90.3755
text,89.9905
dash,89.546
gorgeous,89.31700000000001
boy,88.813
differ,88.7885
version,88.662
owner,88.602
gs3,88.1665
tricki,87.866
ident,87.863
special,87.83149999999999
voic,87.7315
control,87.6855
prompt,87.628
cousin,87.5745
xx,87.566
3gs,87.55550000000001
rubberi,87.5425
siii,87.321
saw,87.229
tv,87.16250000000001
skinomi,86.8245
across,86.504
neg_interfer,86.4175
capabl,85.966
stuff,85.704
drawback,85.693
6,85.4905
smudg,84.88850000000001
level,84.5715
everybodi,84.57100000000001
a+,84.251
cruzerlit,84.043
gold,83.8485
mall,83.8455
system,83.659
thumb,83.329
anti,83.2625
shop,83.2325
lumia,83.0605
occas,82.503
proof,81.6225
mine,81.6225
indic,81.5
interchang,80.5465
misplac,79.84299999999999
walk,79.69200000000001
similar,79.536
tini,79.5205
sweet,79.422
2.1a,78.994
summer,78.699
lanyard,78.638
prefect,78.3955
lover,78.3235
singl,78.3215
heavier,78.23299999999999
attach,78.16850000000001
hubbi,77.808
cash,77.548
against,77.506
breez,77.4205
solv,77.275
mous,77.18650000000001
flat,76.93499999999999
shield,76.8445
stabl,76.6815
neg_lot,76.66749999999999
pattern,76.666
equip,76.538
neg_slipperi,76.4195
reason,76.05
pant,75.672
qi,75.6665
neg_thick,75.501
vacat,75.351
univers,75.33800000000001
neg_regret,75.242
precis,74.85849999999999
fabul,74.795
glide,74.7535
neg_yet,74.7115
shell,74.6865
neg_carri,74.581
beach,74.54299999999999
older,74.358
bb,74.32350000000001
taken,74.2195
built-in,74.0115
nokia,73.933
neg_heavi,73.8555
windshield,73.8005
swivel,73.7655
typic,73.728
activ,73.642
solut,73.5975
attent,73.58749999999999
honest,73.44
stream,73.3235
unbeat,72.949
effect,72.77749999999999
ideal,72.75850000000001
factor,72.729
peac,72.4605
motorcycl,72.4515
except,72.15
anoth,72.10300000000001
setup,72.066
stereo,72.0465
book,71.705
cutest,70.9715
yes,70.813
tech,70.6065
it..,70.58099999999999
live,70.43900000000001
replac,70.42399999999999
co-work,70.261
teen,70.006
rememb,70.005
tabl,70.0035
environ,69.8995
neg_hesit,69.477
mix,69.46600000000001
hybrid,69.17
outdoor,69.11
tip,69.0565
absorb,69.0525
fav,69.0145
crisp,68.9325
verizon,68.78099999999999
nightstand,68.7755
babi,68.747
winner,68.6535
man,68.5585
kind,68.5505
class,68.22349999999999
met,68.22149999999999
pro,68.0075
rapid,67.8985
write,67.702
ha,67.5835
neg_outlet,67.556
reach,67.38350000000001
neg_pocket,67.1245
remind,67.08200000000001
sexi,66.9805
rotat,66.9145
great..,66.7955
accur,66.795
greatest,66.67
slimmer,66.53150000000001
reccommend,66.521
transfer,66.46600000000001
defin,66.4255
father,66.3655
champ,66.26400000000001
locat,66.191
park,65.9105
cushion,65.87899999999999
micro-usb,65.7735
hotel,65.62549999999999
pricey,65.503
fianc,65.45100000000001
win,65.3655
draw,65.0905
elimin,65.018
stuffer,64.955
awsom,64.7985
bang,64.67399999999999
i-phon,64.66900000000001
continu,64.38749999999999
tad,64.276
1a,64.221
loud,64.1165
age,63.973
pc,63.947500000000005
n,63.8165
ismooth,63.793
remain,63.568999999999996
whenev,63.4965
rough,63.4375
invis,63.3225
anybodi,63.121
glossi,63.006
thrill,62.9885
estim,62.8065
.),62.514
neg_purs,62.452999999999996
wrist,62.2945
dri,62.2235
alarm,62.0465
plate,61.943
bundl,61.8335
blend,61.7605
powerpak,61.702
nephew,61.625
hide,61.426
form,61.387
date,61.1565
grand,60.996
onto,60.835
minimalist,60.8225
consol,60.7845
cowork,60.745999999999995
vertic,60.646499999999996
evalu,60.5985
hike,60.516999999999996
quicker,60.459
powergen,60.325
neg_affect,60.197500000000005
horizont,60.105000000000004
generat,59.9955
interest,59.918000000000006
sensit,59.496
ensur,59.3975
desktop,59.1475
gripe,59.109
atrix,59.0905
neg_great,59.007999999999996
anti-glar,58.9485
briefcas,58.821
flight,58.7735
natur,58.656
frequent,58.576
cigarett,58.499
higher,58.368500000000004
snugg,58.227
$20,58.2015
basi,58.185
forget,57.899
distanc,57.861000000000004
zebra,57.8485
impact,57.8165
neg_glar,57.690000000000005
haha,57.6365
whatev,57.552499999999995
holiday,57.436
rare,57.306999999999995
neg_notic,57.289500000000004
substanti,57.12
driver,56.9745
hit,56.7875
palm,56.5795
rain,56.5665
boost,56.5185
iii,56.5025
maintain,56.406
display,56.2625
panel,56.26
parent,56.12
neg_break,56.0465
reduc,55.949999999999996
g,55.908500000000004
pool,55.8915
nano,55.75
strap,55.6825
enabl,55.5565
sooo,55.522999999999996
em,55.517
suit,55.4855
aux,55.4505
neg_run,55.45
wherev,55.296499999999995
bose,55.294000000000004
airport,55.2215
dress,55.064
socket,55.035500000000006
rich,54.8885
back-up,54.836999999999996
yay,54.833
ultra,54.7185
debit,54.659
scratch,54.657000000000004
plane,54.588499999999996
releas,54.5465
given,54.3005
safeti,54.271499999999996
brilliant,54.2025
radio,54.1225
lifetim,53.9515
equal,53.948
harder,53.911500000000004
neg_fallen,53.7335
intact,53.462
microfib,53.300000000000004
answer,53.275999999999996
gameboy,52.895
suffici,52.323
nicer,52.3085
neg_bright,52.305
2a,52.281000000000006
notch,52.184000000000005
respons,52.139
automat,52.095
landscap,52.063
awhil,51.965500000000006
throughout,51.959
yr,51.943
elago,51.8455
bulkier,51.771
bunch,51.673500000000004
3d,51.5475
shine,51.503
heart,51.293
mint,51.215
angl,51.012
g2,50.850500000000004
util,50.694
superior,50.612
balanc,50.509
green,50.388000000000005
retro,50.2615
920,50.152
besid,50.058
children,49.925000000000004
thunderbolt,49.8835
weather,49.737
ballist,49.683
web,49.666
cradl,49.5665
keeper,49.5535
oppos,49.5535
transpar,49.4585
tether,49.3715
chic,49.0835
oxa,49.064
colour,48.938500000000005
modern,48.8315
neg_brain,48.6855
bump,48.638999999999996
neg_los,48.625
xmas,48.607
note:,48.538
schedul,48.507
jealous,48.49
accommod,48.477500000000006
gen,48.4275
bedsid,48.3545
got,48.295
neg_fail,48.2925
trendi,48.291999999999994
speakerphon,48.268
price..,48.2415
neg_expens,48.073499999999996
sync,48.0625
trade,47.957
styli,47.7815
box,47.705
protection/pric,47.702999999999996
neg_stil,47.63549999999999
recom,47.609
stylist,47.262
mode,47.244
bold,47.1385
status,47.057
temper,47.0365
weekend,47.0365
ladi,46.586999999999996
retail,46.5755
neg_bad,46.300000000000004
spill,46.294999999999995
picki,46.248
unobtrus,46.1895
colleg,46.1885
penguin,46.0865
hhh,45.949999999999996
caseflexibleeasi,45.949999999999996
gigi,45.949999999999996
puttightnon,45.949999999999996
rgirgt,45.949999999999996
infidel,45.949999999999996
whatsoev,45.8005
altern,45.7495
cd,45.611
riceverlo,45.5995
nel,45.5995
simpatico,45.5995
tape,45.5325
feminin,45.389
ulock,45.366
gdsagsoasa,45.366
bellisssimo,45.366
nela,45.366
purchasedit,45.366
prchase,45.366
refb,45.366
particolari,45.366
mid-cas,45.199
bpought,45.199
pupos,45.199
say--protect,45.199
thang,45.199
cablestoo,45.199
sssssssssssss,45.199
sssss,45.199
upclos,45.199
daycons:,45.199
nook/phon,45.199
chio,45.199
problemgreat,45.199
(pointless),45.199
alread,45.199
(and,45.1875
neg_need,45.146499999999996
downfal,45.117999999999995
thinner,45.1065
delight,45.095
neg_complanitsus,45.074
neg_$30..,45.074
job_,45.074
ex-boyfriend,45.074
anti-starch,45.074
princessyou,45.074
manufacturer..,45.074
neg_musicyou,45.074
perct,45.074
wallett,45.074
happem,45.074
roadqual,45.074
protectbut,45.074
low/poor,45.074
lightgood,45.074
stillkeep,45.074
xbmc,45.074
devicethank,45.074
sirsvdgs4bkbk,45.074
neg_phone/or,45.074
kiddish,45.074
wooh,45.074
sistersh,45.074
loosey-goosey,45.074
(y),45.074
neg_cual,45.074
chargew,45.074
cgarger,45.074
itjust,45.074
neg_workss,45.074
onli,45.0565
happ,44.9765
satisfii,44.9765
w/e,44.9765
useveri,44.9765
fdsafdsa,44.9765
refunddid,44.9765
coocoo,44.9765
deacrib,44.9765
clear/silv,44.9765
(cellular,44.9765
lengtheasi,44.9765
perfectconsremov,44.9765
silber,44.9765
neg_whatsoever..,44.9765
neg_things..,44.9765
cvv,44.9765
downlooad,44.9765
cutegot,44.9765
cutewil,44.9765
simpatica,44.9765
inconsistentoveral,44.9765
mint..,44.9765
puurrrfect,44.9765
woooo,44.9765
winni,44.9765
boys),44.9765
skini,44.9765
aot,44.9765
neg_longet,44.9765
prospricebuildcolorfit,44.9765
snap/break,44.9765
materiali,44.9765
husbandnic,44.9765
can',44.9765
like/need,44.9765
fallll,44.9765
kindda,44.9765
thri,44.9765
neg_defectivestylus,44.9765
earlyprotect,44.9765
complint,44.9765
neg_inoffens,44.9765
satasfi,44.9765
colorthank,44.9765
ac-to-5-volt,44.9765
bolto,44.9765
late..,44.9765
allthank,44.9765
it-amanda,44.9765
neg_happpi,44.9765
flexiabl,44.9765
suckish,44.9765
inforc,44.9765
($4),44.9765
rhinestones..,44.9765
think,44.933499999999995
cutethat,44.8985
auxiliarr,44.8985
plugwond,44.8985
neg_satay,44.8985
mucl,44.8985
costyl,44.8985
selller,44.8985
themoment,44.8985
beautifully..,44.8985
glovepretti,44.8985
thk,44.8985
qulity/pric,44.8985
sweater..,44.8985
partydeff,44.8985
gooooood,44.8985
whiseld,44.8985
goodthank,44.8985
missplac,44.8985
ussu,44.8985
constructor,44.8985
nee,44.8985
neg_goodc,44.8985
coolbut,44.8985
holder/holst,44.8985
justwhat,44.8985
devicepro,44.8985
❤️💛💜💙💚,44.8985
easley,44.8985
unstuddified..,44.8985
somegreat,44.8985
friend-h,44.8985
looksexcel,44.8985
vasalin,44.8985
plugs--on,44.8985
ned,44.8985
okh,44.8985
capicit,44.8985
expectationi,44.8985
earlydo,44.8985
em/,44.8985
granddaugh,44.8985
havefit,44.8985
breeeat,44.8985
profilemight,44.8985
gloveveri,44.8985
escutcheon,44.8985
sgmaxx,44.8985
outenjoy[,44.8985
$1.51,44.8985
plug-in-th,44.8985
perfectcheck,44.8985
lovesth,44.8985
anythingw,44.8985
reslli,44.8985
casesolidstrongbuilt,44.8985
lasti,44.8985
longrr,44.8985
allprofit,44.8985
adr,44.8985
okayit,44.8985
beceas,44.8985
allat,44.8985
discolor..,44.8985
getitng,44.8985
neg_torx,44.8985
itemthank,44.8985
esigncon,44.8985
scaratch,44.8985
neg_supost,44.8985
quantuti,44.8985
nevet,44.8985
itook,44.835
headset--i,44.835
neg_diffifulti,44.835
undr,44.835
better.,44.835
precisi,44.835
stowabl,44.835
kid-much,44.835
neg_wi,44.835
ssss,44.835
falls/,44.835
threy,44.835
getit,44.835
heritag,44.835
bwoken,44.835
chromearriv,44.835
protectorsmthink,44.835
cloos,44.835
neg_aplli,44.835
mother-in,44.835
coverbut,44.835
itevryon,44.835
coukd,44.835
(texas),44.835
capat,44.835
hahahahahahh,44.835
satisfiedwith,44.835
me.,44.835
razzl,44.835
gooooooooood,44.835
t-898,44.835
illumun,44.835
wittl,44.835
againand,44.835
zonesaround,44.835
weeks(from,44.835
.io,44.835
htcm8,44.835
6~12,44.835
cloupl,44.835
obses,44.835
purrfect,44.835
tind,44.835
cradle--then,44.835
say>,44.835
😞,44.835
evennotic,44.835
other2,44.835
coventri,44.835
neg_well,44.835
neg_patriot,44.835
neg_commentari,44.835
pret,44.835
pink/orang,44.835
gook,44.835
bumfer,44.835
sparkel,44.835
fgf,44.835
caseee,44.835
praticoveloci,44.835
outr,44.835
breakgood,44.835
iphone3andup,44.835
rvs,44.835
neg_scratchedbut,44.835
grosso,44.835
straightaway,44.835
stylisi,44.835
old--,44.835
smog,44.835
quickly--good,44.835
neg_onwhat,44.835
varierti,44.835
quick:0(,44.835
smtimeworth,44.835
couldn'tnotic,44.835
iphone5.surfac,44.835
original/factori,44.835
anch,44.835
2take,44.835
hapi,44.835
bluegreat,44.835
psupport,44.835
chihuahua,44.835
servci,44.835
funnya,44.835
wasn'tperfect,44.835
ulrim,44.835
bugg,44.835
neg_(bubbl,44.835
originali,44.835
pkhl,44.835
ahey,44.835
(borrow),44.835
",ye",44.835
recommendt,44.835
justi,44.835
neg_max--,44.835
show,44.8225
fits/appli,44.7815
neatplus,44.7815
querk,44.7815
neg_scratched.,44.7815
480g,44.7815
practric,44.7815
1500-2000,44.7815
(print),44.7815
neg_conplaint,44.7815
week)it,44.7815
vreri,44.7815
plc,44.7815
tid-bit,44.7815
highlt,44.7815
wasnanlittl,44.7815
neg_fix),44.7815
exatct,44.7815
itarriv,44.7815
neg_d-pad,44.7815
heineken,44.7815
deifinit,44.7815
revoew,44.7815
refun,44.7815
product/item,44.7815
phone-gn2,44.7815
stopwiggl,44.7815
stylelish,44.7815
soometim,44.7815
s2not,44.7815
suli,44.7815
asesori,44.7815
v/3d,44.7815
daughter-in-,44.7815
timesand,44.7815
for-fit,44.7815
neg_lenovo,44.7815
unsewn,44.7815
sobig,44.7815
reck,44.7815
mnnie,44.7815
(24hr),44.7815
turdi,44.7815
replca,44.7815
neg_justin,44.7815
neg_dry,44.7815
neg_155,44.7815
neg_wer,44.7815
gharger,44.7815
rececpt,44.7815
comed,44.7815
colofurl,44.7815
timeng,44.7815
photo^,44.7815
told(about,44.7815
beautifully.,44.7815
goodhop,44.7815
mobile)thi,44.7815
printcon:,44.7815
baller,44.7815
neg_quibbl,44.7815
shiny-,44.7815
casenic,44.7815
neg_tr,44.7815
lulz,44.7815
neg_shor,44.7815
brius,44.7815
neg_bieb,44.7815
4.0.it,44.7815
neg_agriv,44.7815
pperson,44.7815
thanks***~~~***,44.7815
complaiw,44.7815
neverth,44.7815
diqitz,44.7815
x2-01,44.7815
broher,44.7815
csoomeon,44.7815
samecam,44.7815
descripit,44.7815
neg_careful/,44.7815
adhess,44.7815
moorepow,44.7815
priceless..,44.7815
neg_'rust,44.7815
screwsfit,44.7815
phonesnic,44.7815
case/gel,44.7815
carr,44.7815
mangent,44.7815
well[,44.7815
beltso,44.7815
16.00,44.7815
h-700,44.7815
breviti,44.7815
extend/shorten,44.7815
a2107,44.7815
color/blu,44.7815
picot,44.7815
looooonnngggg,44.7815
buttonim,44.7815
fake/cheap,44.7815
neededcolor,44.7815
(fat32),44.7815
crouk,44.7815
percent.,44.7815
h800,44.7815
goldit,44.7815
extnd,44.7815
qualoiti,44.7815
colorflat,44.7815
casecolor,44.7815
ffd,44.7815
buying..,44.7815
upstand,44.7815
decorativeaesthet,44.7815
pices,44.7815
magnets=work,44.7815
torch,44.769
dog,44.7505
neg_acur,44.736999999999995
thnks,44.736999999999995
easier/fast,44.736999999999995
delib,44.736999999999995
average/ok,44.736999999999995
neg_formi,44.736999999999995
allota,44.736999999999995
iphone5，easi,44.736999999999995
scammi,44.736999999999995
removingth,44.736999999999995
should+,44.736999999999995
neg_completley,44.736999999999995
ring/viber,44.736999999999995
cuppl,44.736999999999995
weblink,44.736999999999995
neg_picup,44.736999999999995
goodrecommend,44.736999999999995
enoigh,44.736999999999995
anoutt,44.736999999999995
neg_bad.,44.736999999999995
bloth,44.736999999999995
particuarili,44.736999999999995
ink/paint,44.736999999999995
anti-everyth,44.736999999999995
5☆rat,44.736999999999995
purchasing..,44.736999999999995
(21,44.736999999999995
definn,44.736999999999995
holster..,44.736999999999995
neg_qusl,44.736999999999995
1on1..,44.736999999999995
tpms,44.736999999999995
thanks,44.736999999999995
2plug,44.736999999999995
km),44.736999999999995
cillect,44.736999999999995
pros:slipperi,44.736999999999995
neg_aerphon,44.736999999999995
neg_on！,44.736999999999995
2inch,44.736999999999995
early..,44.736999999999995
zps,44.736999999999995
theses..,44.736999999999995
two)),44.736999999999995
ride/bump,44.736999999999995
sensitiveit,44.736999999999995
really/veri,44.736999999999995
valuearriv,44.736999999999995
neg_clyst,44.736999999999995
sound/bass,44.736999999999995
wofe..,44.736999999999995
station/radio,44.736999999999995
gteat,44.736999999999995
trturn,44.736999999999995
x50,44.736999999999995
neg_enogh,44.736999999999995
big/slip,44.736999999999995
styluspen,44.736999999999995
differcult,44.736999999999995
printsedg,44.736999999999995
does/work,44.736999999999995
addor,44.736999999999995
ipud,44.736999999999995
qualiy,44.736999999999995
workedveri,44.736999999999995
neg_sleeping..,44.736999999999995
2.is,44.736999999999995
non-touchsreen,44.736999999999995
nicely>would,44.736999999999995
charger--i,44.736999999999995
yhan,44.736999999999995
iphon5,44.736999999999995
neg_finnish,44.736999999999995
functionof,44.736999999999995
neg_hi-rez,44.736999999999995
dispossit,44.736999999999995
neg_ened,44.736999999999995
worg,44.736999999999995
proctiv,44.736999999999995
sulfit,44.736999999999995
lye,44.736999999999995
thaugt,44.736999999999995
asambl,44.736999999999995
heavli,44.736999999999995
e-cog,44.736999999999995
putsid,44.736999999999995
